T, Time_clhlock
1,0.0034373
2,0.00243755
3,0.00237017
4,0.0023361
5,0.00270126
6,0.00255903
7,0.00281626
8,0.0031818
9,0.00329178
10,0.00298617
11,0.00297455
12,0.00380346
13,0.00326342
14,0.00476671
15,0.00490574
16,0.00380281
17,0.00419331
18,0.00523863
19,0.00532714
20,0.00588303
21,0.00634078
22,0.00643564
23,0.00580341
24,0.0075063
25,0.00442281
26,0.00581776
27,0.00761361
28,0.00663102
29,0.00793699
30,0.00599432
31,0.00821827
32,0.0104765
33,0.00722304
34,0.00642666
35,0.0109448
36,0.00732718
37,0.0114801
38,0.0116179
39,0.00746059
40,0.00968737
41,0.0117134
42,0.0123578
43,0.013628
44,0.0194472
45,0.0122312
46,0.0122022
47,0.0137824
48,0.0143806
49,0.0151551
50,0.0147105
