T, Time_taslock, Time_ttaslock, Time_alock, Time_clhlock, Time_mcslock
1,0.0184007,0.0246138,0.0182462,0.0193394,0.0212407
11,0.0249651,0.0414444,0.0324065,0.0306405,0.0306592
21,0.0367057,0.0606897,0.0571244,0.0531635,0.053555
31,0.045116,0.0627671,0.0711853,0.0717919,0.0666137
41,0.067016,0.0803195,0.0937431,0.0876957,0.0883172
51,0.0760356,0.104192,0.111239,0.10544,0.102916
61,0.0960934,0.119181,0.132737,0.1152,0.120097
71,0.0949507,0.136383,0.160052,0.142156,0.156568
81,0.108304,0.157973,0.175933,0.164465,0.158014
91,0.158616,0.174591,0.196241,0.179969,0.192232
