T, Time_ttaslock
1,0.000295
2,0.0002124
3,9.69333e-05
4,7.7775e-05
5,8.116e-05
6,7.16167e-05
7,8.39571e-05
8,0.000101012
9,6.89111e-05
10,0.00021235
11,0.000102582
12,0.000120933
13,8.92154e-05
14,7.85214e-05
15,8.16867e-05
16,8.52937e-05
17,6.82235e-05
18,7.86111e-05
19,9.72105e-05
20,7.735e-05
21,8.4919e-05
22,0.000100491
23,0.000104543
24,9.55292e-05
25,0.000150396
26,8.61654e-05
27,9.33889e-05
28,7.70071e-05
29,0.000126517
30,0.000193093
31,0.000124545
32,0.000118287
33,0.000147603
34,6.90706e-05
35,0.000105049
36,7.38028e-05
37,0.000139886
38,9.36211e-05
39,7.39769e-05
40,0.000100257
