T, Time_TAS, Time_TTAS, Time_alocks, Time_clhlock, Time_mcslock
1,0.0431046,0.0444449,0.0460715,0.0350002,0.0390714
5,0.0430872,0.0300977,0.0133187,0.0108164,0.00780135
9,0.0479959,0.0297458,0.00584212,0.00910003,0.00632993
13,0.0788507,0.0517126,0.00501664,0.00556473,0.00568969
17,0.0884922,0.0529632,0.00509363,0.00636481,0.00595601
21,0.0953999,0.0542486,0.00584043,0.00617439,0.00588921
25,0.107398,0.0593289,0.00556127,0.00629015,0.00577586
29,0.132635,0.0785135,0.00566764,0.00635836,0.00585571
33,0.155832,0.0868835,0.00560452,0.00621905,0.00583789
37,0.163587,0.0937974,0.0057778,0.00685699,0.00624088
